type,imageUrl,displayText,question
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/27.jpg,I believe in justice.,Which of the following sentences sounds most natural? 27
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/27.jpg,I believe in a justice.,Which of the following sentences sounds most natural? 27
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/27.jpg,I believe in the justice.,Which of the following sentences sounds most natural? 27
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/28.jpg,Sorry to disturb you with the weekend.,Which of the following sentences sounds most natural? 28
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/28.jpg,Sorry to disturb you under the weekend.,Which of the following sentences sounds most natural? 28
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/28.jpg,Sorry to disturb you at the weekend.,Which of the following sentences sounds most natural? 28
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/28.jpg,Sorry to disturb you on the weekend.,Which of the following sentences sounds most natural? 28
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/29.jpg,I would like go home.,Which of the following sentences sounds most natural? 29
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/29.jpg,I would prefer go home.,Which of the following sentences sounds most natural? 29
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/29.jpg,I would rather go home.,Which of the following sentences sounds most natural? 29
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/29.jpg,I would want go home.,Which of the following sentences sounds most natural? 29
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/30.jpg,Bill poured the cup with wine.,Which of the following sentences sounds most natural? 30
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/30.jpg,Bill filled the cup with wine.,Which of the following sentences sounds most natural? 30
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/30.jpg,Bill drained the cup with wine.,Which of the following sentences sounds most natural? 30
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/30.jpg,Bill dripped the cup with wine.,Which of the following sentences sounds most natural? 30
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/31.jpg,I play at the soccer team.,Which of the following sentences sounds most natural? 31
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/31.jpg,I play in the soccer team.,Which of the following sentences sounds most natural? 31
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/31.jpg,I play on the soccer team.,Which of the following sentences sounds most natural? 31
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/31.jpg,I play inside the soccer team.,Which of the following sentences sounds most natural? 31
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/30.jpg,John agreed the contract.,Which of these sentences is grammatical? 1
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/30.jpg,Sally appealed against the decision.,Which of these sentences is grammatical? 1
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/30.jpg,I'll write my brother.,Which of these sentences is grammatical? 1
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/30.jpg,I'm just after telling you.,Which of these sentences is grammatical? 1
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/29.jpg,The government was unable to agree on the budget.,Which of these sentences is grammatical? 1
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/29.jpg,I after ate dinner.,Which of these sentences is grammatical? 1
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/29.jpg,Who did Sue ask why Sam was waiting?,Which of these sentences is grammatical? 1
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/29.jpg,He thought he could win the game.,Which of these sentences is grammatical? 1
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/29.jpg,The committee were divided on the question.,Which of these sentences is grammatical? 2
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/28.jpg,She resigned Thursday.,Which of these sentences is grammatical? 2
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/28.jpg,He said that she is taking a trip.,Which of these sentences is grammatical? 2
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/28.jpg,He said that she was taking a trip.,Which of these sentences is grammatical? 2
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/28.jpg,Sally swam two miles. Wore a pair of $100 goggles.,Which of these sentences is grammatical? 2
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/28.jpg,I'm going to Wisconsin next week.,Which of these sentences is grammatical? 2
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/28.jpg,He encouraged her to travels around the world.,Which of these sentences is grammatical? 2
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/27.jpg,I'm wanting dessert.,Which of these sentences is grammatical? 2
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/27.jpg,I worked for five years.,Which of these sentences is grammatical? 3
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/27.jpg,Who did Bill ask why Jane was talking to?,Which of these sentences is grammatical? 3
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/27.jpg,Who whom kissed?,Which of these sentences is grammatical? 3
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/27.jpg,John went to the store. Bought ice cream.,Which of these sentences is grammatical? 3
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/27.jpg,I'm finished my homework.,Which of these sentences is grammatical? 3
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/27.jpg,I'm finished with my homework.,Which of these sentences is grammatical? 3
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/26.jpg,We did go the beach.,Which of these sentences is grammatical? 3
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/26.jpg,He be working Tuesdays.,Which of these sentences is grammatical? 3
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/26.jpg,"Yesterday, John wanted to won the race.",Which of these sentences is grammatical? 4
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/26.jpg,"Up the audience's expectations, the critics built.",Which of these sentences is grammatical? 4
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/26.jpg,I'm done dinner.,Which of these sentences is grammatical? 4
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/26.jpg,He was pulled over by the police for driving 120 miles per hour.,Which of these sentences is grammatical? 4
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/26.jpg,He stay working.,Which of these sentences is grammatical? 4
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/26.jpg,The dog the man owns barked.,Which of these sentences is grammatical? 4
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/26.jpg,I eats dinner.,Which of these sentences is grammatical? 4
survey-multi-select,http://www.gameswithwords.org/WhichEnglish/images/26.jpg,Where is the pen that I gave it to you yesterday?,Which of these sentences is grammatical? 4
